RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
19.6,58.065,57.05772,[M+H]+,FALSE,,C3H7N,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,1204,[],TRUE,952,1204,902,1062,1172,1532,1210,1262,1384,1188,1278,1184,1312
0.61,58.0654,57.05812,[M+H]+,FALSE,,C3H7N,"SmartFormula - mzdev: 0.0003 mSigma: Infinity, ",20000,,600,[],TRUE,88,454,608,668,432,806,758,388,380,780,600,540,646
19.78,58.93197,57.92469,[M+H]+,TRUE,,,,,,2058,[],TRUE,2036,2120,1808,2150,1726,0,2114,1940,1966,2180,2058,2456,3302
19.78,58.94123,57.93395,[M+H]+,TRUE,,,,,,1260,[],TRUE,1306,1138,1378,950,1032,1826,1308,1264,1002,1256,1208,1330,1260
19.26,59.04833,58.04105,[M+H]+,TRUE,,,,,,9080,[],TRUE,8688,9080,6650,7522,9188,8124,11440,9274,8458,9940,45880,8872,11308
0.06,59.04893,116.0833,[M+H+H]2+,FALSE,,,,,,474,[],TRUE,346,288,508,994,408,758,446,386,688,474,0,898,528
0.03,59.04893,58.04165,[M+H]+,FALSE,,,,,,0,[],TRUE,0,0,0,0,0,0,0,0,0,0,726,0,0
19.44,59.04894,58.04166,[M+H]+,TRUE,,C3H6O,"SmartFormula - mzdev: -0.0002 mSigma: 18.96, ",20100,,9258,[],TRUE,8524,9894,9262,9068,8884,10202,11028,9258,8880,9506,11440,0,9038
0.76,59.04896,58.04169,[M+H]+,FALSE,,C3H6O,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,0,[],TRUE,0,0,0,0,0,0,578,636,0,712,0,0,0
19.57,59.04897,58.0417,[M+H]+,TRUE,,,,,,9168,[],TRUE,8024,7908,9436,28698,9834,8988,9168,8328,7422,10486,9616,11122,7766
0.29,59.04899,58.04171,[M+H]+,FALSE,,C3H6O,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,692,[],TRUE,758,680,144,586,764,676,638,692,620,748,872,934,734
5.72,59.04901,58.04173,[M+H]+,TRUE,,,,,,3448,[],TRUE,3110,5726,3666,3368,3408,8738,2704,3832,3168,5522,4024,3300,3448
18.39,59.04905,58.04177,[M+H]+,TRUE,,,,,,3962,[],TRUE,3962,4050,4392,3560,3720,3722,3692,3624,14824,4342,3790,4404,4688
1.39,59.04906,58.04178,[M+H]+,TRUE,,C3H6O,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,0,382,704,316,0,782,0,0,0,0,0,0,0
1.88,59.04907,58.0418,[M+H]+,FALSE,,C3H6O,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,0,424,0,766,0,0,0,320,570,0,0,0,0
0.59,59.04917,58.0419,[M+H]+,FALSE,,,,,,0,[],TRUE,606,0,0,610,0,0,0,0,720,0,0,0,0
2.88,59.04919,58.04191,[M+H]+,FALSE,,,,,,0,[],TRUE,524,804,0,0,0,0,0,0,0,0,0,0,0
19.69,59.05993,58.05265,[M+H]+,FALSE,,,,,,500,[],TRUE,556,434,666,500,402,412,714,846,464,0,432,568,978
19.71,59.05994,116.10532,[M+H+H]2+,FALSE,,,,,,0,[],TRUE,0,0,0,0,0,0,0,0,0,716,0,0,0
19.79,59.92976,58.92248,[M+H]+,FALSE,,,,,,24634,[],TRUE,22062,25414,25414,23254,24224,24250,24634,23252,42030,19664,26896,26804,27210
13.25,59.93,58.92273,[M+H]+,TRUE,,,,,,1106,[],TRUE,860,1286,1216,1106,1322,1078,1312,1036,1088,1018,904,1164,1276
11.54,59.93001,58.92273,[M+H]+,TRUE,,,,,,856,[],TRUE,776,832,920,876,942,0,1010,1528,0,856,0,1086,0
0.06,59.93003,58.92276,[M+H]+,FALSE,,,,,,654,[],TRUE,400,498,412,496,802,1036,726,644,782,682,628,654,1018
12.94,59.93004,58.92276,[M+H]+,TRUE,,,,,,896,[],TRUE,844,0,938,1192,0,1144,0,0,896,1024,0,1428,1142
5.2,59.93006,58.92279,[M+H]+,FALSE,,,,,,0,[],TRUE,232,712,316,290,326,0,0,0,392,0,0,0,0
12.16,59.93006,58.92278,[M+H]+,TRUE,,,,,,1030,[],TRUE,0,978,1030,1118,0,0,894,1052,1134,1278,0,1112,1580
14.1,59.93007,58.9228,[M+H]+,TRUE,,,,,,960,[],TRUE,0,950,814,1024,1024,1252,972,1264,960,922,994,920,0
0.25,59.93007,58.92279,[M+H]+,FALSE,,,,,,666,[],TRUE,666,512,600,666,582,0,620,872,784,816,760,550,836
11.8,59.93007,58.9228,[M+H]+,TRUE,,,,,,930,[],TRUE,0,882,1042,930,0,916,1010,1022,962,982,1080,0,0
0.79,60.04426,59.03698,[M+H]+,TRUE,,C2H5NO,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,720,[],TRUE,1154,628,478,1162,0,764,720,814,710,796,0,0,786
2,60.04432,59.03705,[M+H]+,TRUE,,C2H5NO,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,0,0,0,410,0,590,0,0,0,878,608,562,0
0.25,60.04433,59.03706,[M+H]+,FALSE,,C2H5NO,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,580,[],TRUE,682,0,580,860,764,630,148,0,772,882,104,530,472
19.27,60.05421,118.09387,[M+H+H]2+,FALSE,,,,,,442,[],TRUE,0,606,382,474,494,0,700,442,424,402,1676,0,564
19.24,60.05437,59.04709,[M+H]+,FALSE,,,,,,0,[],TRUE,0,0,0,0,0,0,362,0,348,0,0,800,0
18.86,60.05444,59.04716,[M+H]+,TRUE,,,,,,460,[],TRUE,0,350,666,0,630,0,716,0,486,460,654,674,0
19.56,60.05451,59.04724,[M+H]+,FALSE,,,,,,444,[],TRUE,0,444,722,0,442,470,628,324,618,320,666,0,550
19.72,60.05466,118.09476,[M+H+H]2+,FALSE,,,,,,0,[],TRUE,0,0,0,0,0,0,0,0,0,0,0,1034,0
19.05,60.05474,59.04747,[M+H]+,FALSE,,,,,,448,[],TRUE,0,564,418,0,572,0,874,0,642,710,584,448,0
19.71,60.05483,59.04756,[M+H]+,FALSE,,,,,,788,[],TRUE,0,1594,1060,788,780,730,928,662,1028,678,1120,0,968
0.18,60.98632,59.97904,[M+H]+,FALSE,,,,,,1462,[],TRUE,1462,1292,1268,1198,1578,1418,1616,1672,1370,1520,1510,1508,1362
19.53,62.05981,61.05253,[M+H]+,TRUE,,,,,,1250,[],TRUE,1250,1282,1938,1102,1270,1422,1034,1212,1086,1342,1372,1022,920
5.91,62.05981,61.05254,[M+H]+,TRUE,,,,,,190,[],TRUE,148,1122,0,196,136,1270,0,280,340,0,0,190,206
12.3,62.05985,61.05258,[M+H]+,TRUE,,,,,,574,[],TRUE,0,460,546,574,558,816,984,732,594,0,798,866,556
6.65,62.05988,61.0526,[M+H]+,TRUE,,,,,,0,[],TRUE,204,0,2032,0,196,0,764,0,182,0,0,0,370
6.24,62.0599,61.05262,[M+H]+,TRUE,,,,,,208,[],TRUE,92,0,1260,0,290,716,1046,274,192,0,862,208,136
9.95,62.05991,61.05263,[M+H]+,TRUE,,,,,,960,[],TRUE,190,1010,1294,1196,1324,926,960,936,984,768,690,1284,792
10.6,62.05991,61.05263,[M+H]+,FALSE,,,,,,578,[],TRUE,356,578,510,660,602,450,0,810,386,682,584,578,674
7.92,62.05992,61.05265,[M+H]+,TRUE,,,,,,176,[],TRUE,176,306,0,0,918,0,668,0,744,0,366,0,770
13.25,62.05992,61.05265,[M+H]+,FALSE,,,,,,758,[],TRUE,0,0,776,978,0,768,758,774,0,994,0,964,0
14.2,62.05992,61.05264,[M+H]+,FALSE,,,,,,848,[],TRUE,0,992,858,996,830,848,762,1016,0,1106,798,904,716
5.44,62.05992,61.05264,[M+H]+,TRUE,,,,,,246,[],TRUE,264,864,336,274,146,890,190,246,146,1214,176,84,200
7.34,62.05994,61.05266,[M+H]+,TRUE,,,,,,0,[],TRUE,190,0,0,986,0,0,0,0,338,0,412,0,214
7.13,62.05995,61.05267,[M+H]+,TRUE,,,,,,338,[],TRUE,82,0,680,966,184,476,0,832,182,504,0,798,338
0.28,62.06006,61.05279,[M+H]+,FALSE,,,,,,312,[],TRUE,174,226,384,312,452,268,398,274,240,812,390,400,176
19.58,62.92866,61.92138,[M+H]+,FALSE,,,,,,2302,[],TRUE,1980,1802,1798,2554,2398,2650,2642,2322,2008,2242,2302,2640,2236
14.18,63.04375,62.03647,[M+H]+,FALSE,,C2H6O2,"SmartFormula - mzdev: -0.0003 mSigma: Infinity, ",20000,,462,[],TRUE,0,634,326,462,358,476,286,750,514,546,974,450,348
13.27,63.04401,62.03674,[M+H]+,FALSE,,C2H6O2,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,434,[],TRUE,0,434,356,432,412,608,500,484,302,746,358,518,568
19.78,63.9272,62.91993,[M+H]+,FALSE,,,,,,1084,[],TRUE,816,994,1262,1464,966,998,1072,860,1272,1092,1276,1120,1084
14.42,64.01545,63.00817,[M+H]+,TRUE,,C4HN,"SmartFormula - mzdev: -0.0027 mSigma: Infinity, ",20000,,0,[],TRUE,474,0,890,0,0,0,0,0,0,0,0,0,0
18.51,64.01547,63.00819,[M+H]+,FALSE,,C4HN,"SmartFormula - mzdev: -0.0027 mSigma: Infinity, ",20000,,0,[],TRUE,284,308,344,900,0,0,0,0,0,0,0,510,286
19.1,64.01553,63.00825,[M+H]+,FALSE,,C4HN,"SmartFormula - mzdev: -0.0026 mSigma: Infinity, ",20000,,0,[],TRUE,172,178,356,0,0,0,1120,0,0,0,0,0,0
14.98,64.01559,63.00831,[M+H]+,TRUE,,C4HN,"SmartFormula - mzdev: -0.0026 mSigma: Infinity, ",20000,,0,[],TRUE,0,0,0,708,690,0,768,0,0,0,672,0,740
18.88,64.01559,63.00831,[M+H]+,FALSE,,C4HN,"SmartFormula - mzdev: -0.0026 mSigma: Infinity, ",20000,,192,[],TRUE,210,350,192,0,0,1048,0,890,0,764,650,0,0
13.91,64.01561,63.00833,[M+H]+,TRUE,,C4HN,"SmartFormula - mzdev: -0.0026 mSigma: Infinity, ",20000,,0,[],TRUE,0,0,0,0,0,746,0,722,0,0,0,0,0
19.74,64.01562,63.00834,[M+H]+,TRUE,,C4HN,"SmartFormula - mzdev: -0.0026 mSigma: Infinity, ",20000,,674,[],TRUE,310,128,454,586,0,920,750,1088,704,562,1000,678,674
