RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
19.49,99.9258,100.93308,[M-H]-,TRUE,,,,,,9108,[],TRUE,8352,9544,0,0,10258,8998,8774,9108,9676,9954,9136,10714,8742
19.67,99.9258,201.86616,[M-H-H]2-,TRUE,,,,,,0,[],TRUE,0,10770,11498,11604,11680,10438,0,0,0,11642,0,0,0
0.31,99.92581,100.93309,[M-H]-,FALSE,,,,,,450,[],TRUE,358,458,434,640,650,422,448,377,450,540,436,558,728
19.22,99.92581,100.93309,[M-H]-,TRUE,,,,,,7970,[],TRUE,7560,7354,8410,7482,7812,8000,7260,7994,7970,8014,8330,8466,7612
2.4,99.92585,100.93313,[M-H]-,FALSE,,,,,,478,[],TRUE,440,380,458,478,532,700,496,448,584,512,392,496,432
0.03,99.92587,100.93315,[M-H]-,FALSE,,,,,,520,[],TRUE,272,568,572,466,520,468,500,740,558,544,424,568,464
1.29,99.9457,100.95297,[M-H]-,FALSE,,,,,,324,[],TRUE,278,324,506,946,214,194,296,362,274,322,442,514,404
11.75,100.93242,101.9397,[M-H]-,FALSE,,,,,,412,[],TRUE,0,0,412,476,454,410,728,442,628,0,0,416,244
7.29,100.93243,101.93971,[M-H]-,FALSE,,,,,,214,[],TRUE,190,200,98,256,406,712,214,0,214,244,246,184,248
13.13,100.93275,101.94003,[M-H]-,TRUE,,,,,,634,[],TRUE,662,914,680,558,604,620,634,684,682,620,584,694,610
18.72,100.93278,101.94006,[M-H]-,TRUE,,,,,,9314,[],TRUE,9140,9314,8600,10134,9266,10156,9070,9066,9410,9668,9312,9546,9380
17.78,100.93329,101.94057,[M-H]-,TRUE,,,,,,3632,[],TRUE,3260,3150,4668,3500,4016,3734,3936,3632,3622,3886,3944,3314,3614
18.4,100.93348,101.94076,[M-H]-,TRUE,,,,,,6206,[],TRUE,0,6312,6354,7270,6556,5176,0,6206,0,0,0,6928,6984
19.65,100.93354,101.94082,[M-H]-,TRUE,,,,,,20568,[],TRUE,18388,19938,19840,19534,20568,20930,20434,19878,21548,21454,23734,26100,21480
0.31,100.93354,101.94081,[M-H]-,FALSE,,,,,,478,[],TRUE,560,618,418,444,422,732,478,360,726,454,544,512,434
18.5,100.93354,101.94082,[M-H]-,TRUE,,,,,,7062,[],TRUE,5796,6356,7454,7958,6862,6752,6142,8236,6284,7062,7492,8814,23754
7.98,101.02431,102.03159,[M-H]-,TRUE,,C4H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,260,[],TRUE,140,260,120,1322,254,194,288,1034,248,274,150,1072,570
17.38,101.93059,102.93787,[M-H]-,TRUE,,,,,,610,[],TRUE,832,610,684,670,530,646,638,464,604,468,580,686,538
17.55,101.93099,205.87653,[M-H-H]2-,TRUE,,,,,,602,[],TRUE,724,554,0,602,472,634,852,786,560,754,736,402,570
16.36,101.93324,102.94052,[M-H]-,TRUE,,,,,,448,[],TRUE,0,380,526,486,442,310,554,732,274,448,476,404,456
0.79,101.94082,102.94809,[M-H]-,TRUE,,,,,,5006,[],TRUE,3430,5006,4980,4788,4476,5242,5190,4440,5170,6806,5412,5752,4764
